"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-01-29 00:01:25;298.666666666667;4;242
2015-01-29 00:05:14;690;6;1111
2015-01-29 00:07:05;386.666666666667;6;243
2015-01-29 00:11:55;243;4;241
2015-01-29 00:27:43;1111;2;639
2015-01-29 00:28:25;1111;3;223
2015-01-29 00:35:34;223;3;292
2015-01-29 00:37:27;300;3;249
2015-01-29 00:39:47;639;6;335
2015-01-29 00:40:11;639;8;302
2015-01-29 00:51:58;300;1;259
2015-01-29 01:04:32;300;5;264
2015-01-29 01:18:59;300;1;1078
2015-01-29 01:35:36;300;1;247
2015-01-29 01:37:04;1078;4;309
2015-01-29 01:49:41;300;2;269
2015-01-29 01:51:25;300;3;241
2015-01-29 01:57:38;255;1;295
2015-01-29 02:31:23;300;2;321
2015-01-29 02:51:47;300;2;236
2015-01-29 03:23:43;300;1;302
2015-01-29 03:47:23;300;1;276
2015-01-29 03:47:41;300;1;1264
2015-01-29 03:54:03;276;2;283
2015-01-29 04:01:53;283;2;281
2015-01-29 04:08:56;772.5;2;281
2015-01-29 04:11:49;1264;3;537
2015-01-29 04:12:47;1264;4;300
2015-01-29 04:13:05;1264;4;258
2015-01-29 04:16:40;281;4;253
2015-01-29 04:20:46;365;4;248
2015-01-29 04:21:11;337;5;301
2015-01-29 04:37:50;300;1;274
2015-01-29 04:38:22;300;3;282
2015-01-29 04:39:00;300;4;414
2015-01-29 04:41:51;300;5;259
2015-01-29 04:42:58;274;5;303
2015-01-29 04:44:14;278;3;284
2015-01-29 04:48:08;325.333333333333;3;787
2015-01-29 04:53:21;284;2;1321
2015-01-29 04:53:23;284;3;256
2015-01-29 04:55:05;300;4;284
2015-01-29 04:55:40;300;5;293
2015-01-29 04:56:14;300;6;271
2015-01-29 05:03:52;408.75;2;227
2015-01-29 05:04:58;450.333333333333;3;257
2015-01-29 05:07:47;227;4;266
2015-01-29 05:12:17;250;3;727
2015-01-29 05:13:45;261.5;3;288
2015-01-29 05:17:00;793.5;4;268
