"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-03-13 00:01:08;271;4;260
2015-03-13 00:06:06;281;6;265
2015-03-13 00:07:04;281;6;279
2015-03-13 00:14:12;272;2;277
2015-03-13 00:18:14;2272;5;363
2015-03-13 00:23:25;1073;1;273
2015-03-13 00:32:13;273;1;281
2015-03-13 00:32:18;273;2;281
2015-03-13 00:32:22;273;4;278
2015-03-13 00:32:26;273;5;283
2015-03-13 00:34:33;300;8;310
2015-03-13 00:34:36;300;9;301
2015-03-13 00:34:57;300;10;312
2015-03-13 00:42:08;301.5;2;288
2015-03-13 00:42:10;307.666666666667;3;287
2015-03-13 00:42:31;307.666666666667;4;276
2015-03-13 00:44:27;307.666666666667;5;556
2015-03-13 00:57:29;556;1;321
2015-03-13 00:58:43;556;3;272
2015-03-13 01:12:42;300;1;742
2015-03-13 01:16:53;300;2;290
2015-03-13 01:17:31;300;3;253
2015-03-13 01:17:37;300;4;268
2015-03-13 01:20:14;300;6;310
2015-03-13 01:34:36;300;1;263
2015-03-13 02:04:06;300;3;300
2015-03-13 02:11:24;300;1;256
2015-03-13 02:11:55;300;2;294
2015-03-13 02:12:08;300;3;286
2015-03-13 02:14:01;300;4;338
2015-03-13 02:14:06;300;5;318
2015-03-13 02:14:10;300;6;328
2015-03-13 02:14:28;300;6;361
2015-03-13 02:16:27;256;7;243
2015-03-13 02:39:05;300;1;2213
2015-03-13 02:53:22;300;1;260
2015-03-13 03:25:17;300;4;309
2015-03-13 03:38:46;300;1;253
2015-03-13 03:53:32;300;2;270
2015-03-13 04:04:04;300;1;299
2015-03-13 04:05:50;300;2;254
2015-03-13 04:06:08;300;3;260
2015-03-13 04:09:59;299;3;272
2015-03-13 04:11:13;271;3;288
2015-03-13 04:11:37;271;4;313
2015-03-13 04:16:33;280;2;278
2015-03-13 04:20:00;300.5;3;234
2015-03-13 04:22:42;278;2;253
2015-03-13 04:23:09;278;4;274
2015-03-13 04:23:26;278;5;1475
2015-03-13 04:25:36;256;5;271
2015-03-13 04:26:30;234;6;264
2015-03-13 04:27:11;243.5;6;1961
2015-03-13 04:27:22;243.5;7;256
2015-03-13 04:33:02;263.666666666667;1;260
2015-03-13 04:35:41;260;2;296
2015-03-13 04:37:57;260;3;290
2015-03-13 04:40:26;260;3;242
2015-03-13 04:40:30;260;4;249
2015-03-13 04:42:24;296;5;229
2015-03-13 04:51:00;852;2;234
2015-03-13 04:56:54;234;2;221
2015-03-13 04:59:18;234;3;217
2015-03-13 04:59:25;234;4;230
2015-03-13 05:00:50;1091;6;263
2015-03-13 05:00:57;1091;7;257
2015-03-13 05:01:01;1091;8;255
2015-03-13 05:02:26;1091;9;268
2015-03-13 05:04:19;657.25;9;1389
2015-03-13 05:06:57;248.333333333333;6;241
2015-03-13 05:07:02;248.333333333333;7;295
2015-03-13 05:08:39;260.75;7;278
2015-03-13 05:11:21;254.5;6;256
2015-03-13 05:13:04;268;3;290
2015-03-13 05:16:54;276.333333333333;2;294
2015-03-13 05:17:35;267;4;284
2015-03-13 05:18:50;273;5;267
2015-03-13 05:18:53;273;6;272
2015-03-13 05:22:34;289.333333333333;6;261
2015-03-13 05:23:57;279.25;3;281
2015-03-13 05:25:14;279.25;3;332
2015-03-13 05:25:15;279.25;4;289
2015-03-13 05:25:17;279.25;5;468
2015-03-13 05:25:21;279.25;6;304
2015-03-13 05:25:24;279.25;7;290
2015-03-13 05:27:35;547.25;7;277
2015-03-13 05:28:38;643.666666666667;9;264
2015-03-13 05:28:53;643.666666666667;11;247
2015-03-13 05:30:13;555;11;266
2015-03-13 05:31:01;449.428571428571;8;274
2015-03-13 05:32:49;295.5;7;268
2015-03-13 05:35:06;306;8;263
2015-03-13 05:35:56;299.333333333333;7;323
2015-03-13 05:36:13;299.333333333333;7;310
2015-03-13 05:37:50;297.833333333333;8;304
2015-03-13 05:38:25;269.333333333333;8;251
2015-03-13 05:39:43;268.333333333333;9;268
2015-03-13 05:39:48;268.333333333333;10;257
2015-03-13 05:40:22;268.333333333333;10;253
2015-03-13 05:42:31;298.666666666667;10;264
2015-03-13 05:42:40;286.75;11;271
2015-03-13 05:42:43;286.75;12;269
2015-03-13 05:42:46;286.75;13;268
2015-03-13 05:44:35;280.857142857143;11;260
2015-03-13 05:44:38;280.857142857143;12;255
2015-03-13 05:45:08;280.857142857143;12;260
2015-03-13 05:46:25;266.6;11;271
2015-03-13 05:47:34;267.222222222222;12;280
2015-03-13 05:48:00;264.285714285714;10;256
2015-03-13 05:48:52;264.285714285714;13;241
2015-03-13 05:49:25;262.857142857143;14;241
2015-03-13 05:50:10;263.857142857143;12;274
2015-03-13 05:51:04;264.75;14;247
2015-03-13 05:51:11;264.75;15;284
2015-03-13 05:51:19;264.75;15;1393
2015-03-13 05:51:22;264.75;16;272
2015-03-13 05:51:25;264.75;16;291
2015-03-13 05:51:27;264.75;16;276
2015-03-13 05:52:18;263.666666666667;16;261
2015-03-13 05:52:31;263.666666666667;19;296
2015-03-13 05:53:26;258;18;236
2015-03-13 05:53:47;258;18;271
2015-03-13 05:54:08;258.166666666667;18;273
2015-03-13 05:54:20;258.166666666667;19;257
2015-03-13 05:55:20;258.571428571429;17;241
2015-03-13 05:55:40;258.571428571429;20;291
2015-03-13 05:55:44;258.571428571429;22;285
2015-03-13 05:55:49;258.571428571429;23;274
2015-03-13 05:55:53;258.571428571429;24;284
2015-03-13 05:56:01;261.875;25;278
2015-03-13 05:56:28;266.2;21;263
2015-03-13 05:56:32;266.2;22;274
2015-03-13 05:57:10;265.727272727273;23;249
2015-03-13 05:57:35;265.363636363636;20;237
2015-03-13 05:58:53;269.833333333333;19;281
2015-03-13 05:58:55;269.833333333333;20;258
2015-03-13 05:58:57;269.833333333333;21;264
2015-03-13 05:59:09;269.833333333333;22;266
2015-03-13 06:00:02;267.083333333333;24;237
2015-03-13 06:00:57;271.8;17;238
2015-03-13 06:01:12;271.666666666667;17;220
2015-03-13 06:01:57;267.266666666667;15;308
2015-03-13 06:02:12;267.266666666667;15;280
2015-03-13 06:02:26;269.5;17;261
2015-03-13 06:02:29;267.461538461538;18;260
2015-03-13 06:02:31;267.461538461538;19;260
2015-03-13 06:02:42;267.461538461538;19;271
2015-03-13 06:02:46;267.461538461538;20;267
2015-03-13 06:03:26;266.285714285714;21;255
2015-03-13 06:03:32;266.285714285714;22;257
2015-03-13 06:03:40;267.866666666667;22;265
2015-03-13 06:04:11;265.466666666667;17;429
2015-03-13 06:04:14;265.466666666667;18;283
2015-03-13 06:04:22;267.214285714286;19;308
2015-03-13 06:04:33;267.214285714286;20;267
2015-03-13 06:05:19;262.4375;23;249
2015-03-13 06:06:09;250;24;289
2015-03-13 06:06:11;250;25;269
2015-03-13 06:06:19;250;26;279
2015-03-13 06:06:42;252;28;292
2015-03-13 06:07:06;261.083333333333;28;290
2015-03-13 06:07:13;262.214285714286;28;260
2015-03-13 06:07:20;262.214285714286;29;276
2015-03-13 06:07:46;261.733333333333;26;278
2015-03-13 06:08:00;261.4375;27;315
2015-03-13 06:08:03;261.4375;28;301
2015-03-13 06:08:36;259.923076923077;28;271
2015-03-13 06:08:56;259.923076923077;29;272
2015-03-13 06:09:01;263.714285714286;30;257
2015-03-13 06:09:05;263.714285714286;31;268
2015-03-13 06:09:43;265.5625;29;263
2015-03-13 06:09:50;265.5625;31;280
2015-03-13 06:09:53;268.6;32;280
2015-03-13 06:09:54;268.6;33;281
2015-03-13 06:09:58;270.785714285714;34;279
2015-03-13 06:10:03;270.785714285714;33;273
2015-03-13 06:10:06;270.785714285714;33;278
2015-03-13 06:10:11;270.785714285714;34;280
2015-03-13 06:11:07;272.235294117647;34;299
2015-03-13 06:11:15;272.235294117647;33;267
2015-03-13 06:11:45;280.45;30;290
2015-03-13 06:12:09;282.705882352941;30;378
2015-03-13 06:12:13;282.705882352941;31;257
2015-03-13 06:12:14;284.533333333333;31;258
2015-03-13 06:12:18;284.533333333333;32;281
2015-03-13 06:14:21;287;26;279
2015-03-13 06:14:23;287;27;299
2015-03-13 06:14:52;331.375;29;269
2015-03-13 06:15:01;331.375;28;285
2015-03-13 06:15:43;331.291666666667;26;296
