"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-03-27 00:02:00;282;3;304
2015-03-27 00:02:05;282;5;301
2015-03-27 00:02:36;282;6;284
2015-03-27 00:04:48;275;8;235
2015-03-27 00:06:46;352;11;317
2015-03-27 00:07:33;310.25;9;282
2015-03-27 00:09:39;589.5;6;293
2015-03-27 00:10:43;637;8;1846
2015-03-27 00:11:52;637;8;275
2015-03-27 00:12:00;637;10;276
2015-03-27 00:12:07;724.25;11;278
2015-03-27 00:12:21;723.75;12;269
2015-03-27 00:12:55;723.75;13;300
2015-03-27 00:13:36;278;14;267
2015-03-27 00:14:02;299.5;15;307
2015-03-27 00:14:08;299.5;16;318
2015-03-27 00:14:12;299.5;17;340
2015-03-27 00:14:17;299.5;18;314
2015-03-27 00:14:23;299.5;19;310
2015-03-27 00:16:56;284.285714285714;14;242
2015-03-27 00:23:19;305.166666666667;5;464
2015-03-27 00:24:36;291;6;332
2015-03-27 00:24:53;242;5;1997
2015-03-27 00:25:45;242;6;279
2015-03-27 00:29:28;2824;7;281
2015-03-27 00:36:41;281;3;250
2015-03-27 00:38:03;281;3;1655
2015-03-27 00:42:35;1048;3;286
2015-03-27 00:43:25;1048;3;478
2015-03-27 00:47:17;300;3;244
2015-03-27 00:48:59;286;2;255
2015-03-27 00:50:15;286;3;235
2015-03-27 00:51:31;336;4;272
2015-03-27 01:05:44;1655;3;276
2015-03-27 01:16:34;300;1;268
2015-03-27 01:17:19;300;2;245
2015-03-27 01:19:06;300;2;1141
2015-03-27 01:37:05;300;1;284
2015-03-27 01:38:13;1141;2;283
2015-03-27 01:39:24;1141;3;239
2015-03-27 01:39:44;1141;4;315
2015-03-27 01:51:07;300;2;220
2015-03-27 01:52:16;300;3;990
2015-03-27 01:54:04;300;3;308
2015-03-27 01:56:52;220;3;262
2015-03-27 01:56:55;220;4;263
2015-03-27 01:58:01;220;4;250
2015-03-27 01:59:12;264;4;342
2015-03-27 01:59:14;264;5;277
2015-03-27 01:59:16;264;6;269
2015-03-27 02:00:33;308;7;266
2015-03-27 02:00:40;308;7;2457
2015-03-27 02:01:55;277.666666666667;7;298
2015-03-27 02:02:07;277.666666666667;7;289
2015-03-27 02:02:23;270.75;8;259
2015-03-27 02:03:47;270.4;9;323
2015-03-27 02:03:50;270.4;10;1625
2015-03-27 02:05:09;275.571428571429;8;278
2015-03-27 02:25:33;300;0;1178
2015-03-27 02:28:19;300;1;706
2015-03-27 02:29:39;300;2;292
2015-03-27 02:54:54;300;3;225
2015-03-27 02:57:05;300;4;320
2015-03-27 02:57:29;300;5;3107
2015-03-27 03:17:43;300;1;278
2015-03-27 03:18:22;300;2;276
2015-03-27 03:19:22;300;3;233
2015-03-27 03:20:45;300;4;262
2015-03-27 03:26:58;262.25;1;2740
2015-03-27 03:27:03;262.25;2;233
2015-03-27 03:33:57;233;1;259
2015-03-27 03:34:13;233;2;249
2015-03-27 03:38:09;300;3;283
2015-03-27 03:41:36;254;1;509
2015-03-27 03:42:19;254;2;261
2015-03-27 03:56:26;300;1;228
2015-03-27 03:59:10;300;3;263
2015-03-27 04:00:37;228;4;260
2015-03-27 04:09:56;260;2;277
2015-03-27 04:09:58;300;3;297
2015-03-27 04:12:09;300;4;1429
2015-03-27 04:17:52;287;2;303
2015-03-27 04:19:19;287;4;247
2015-03-27 04:20:09;300;5;266
2015-03-27 04:24:05;275;4;264
2015-03-27 04:25:39;272;2;851
2015-03-27 04:25:41;272;3;300
2015-03-27 04:28:06;256.5;3;244
2015-03-27 04:30:11;264;3;2553
2015-03-27 04:30:51;282;3;265
2015-03-27 04:39:55;848.333333333333;3;276
2015-03-27 04:40:07;848.333333333333;4;286
2015-03-27 04:43:27;851;4;258
2015-03-27 04:44:52;276;5;239
2015-03-27 04:46:39;281;4;263
2015-03-27 04:47:36;281;4;276
2015-03-27 04:48:18;273.333333333333;5;270
2015-03-27 04:53:30;262;2;284
2015-03-27 04:54:34;269.666666666667;3;256
2015-03-27 05:01:09;270;1;296
2015-03-27 05:02:32;270;2;255
2015-03-27 05:04:19;300;4;265
2015-03-27 05:06:30;296;6;1243
2015-03-27 05:08:43;275.5;5;278
2015-03-27 05:08:45;272;6;280
2015-03-27 05:08:48;272;7;261
2015-03-27 05:09:21;272;7;292
2015-03-27 05:09:23;272;7;254
2015-03-27 05:09:24;272;8;254
2015-03-27 05:13:55;646.666666666667;6;276
2015-03-27 05:14:14;596;7;267
2015-03-27 05:15:58;596;5;297
2015-03-27 05:19:00;278.333333333333;5;302
2015-03-27 05:19:04;278.333333333333;6;302
2015-03-27 05:19:27;271.5;7;267
2015-03-27 05:20:12;271.5;8;276
2015-03-27 05:23:28;280;8;250
2015-03-27 05:25:43;288.8;4;282
2015-03-27 05:25:45;288.8;5;269
2015-03-27 05:25:50;288.8;6;300
2015-03-27 05:26:23;286.75;7;281
2015-03-27 05:27:37;478;7;266
2015-03-27 05:27:42;440;8;287
2015-03-27 05:27:55;440;9;275
2015-03-27 05:28:46;440;9;263
2015-03-27 05:29:02;474.6;10;258
2015-03-27 05:29:15;589.666666666667;11;275
2015-03-27 05:29:48;589.666666666667;11;1381
2015-03-27 05:30:47;511;10;291
2015-03-27 05:30:50;468.8;11;277
2015-03-27 05:30:54;468.8;12;2383
2015-03-27 05:31:08;437.5;12;1368
2015-03-27 05:32:02;437.5;13;272
2015-03-27 05:32:04;413;14;271
2015-03-27 05:32:13;413;15;292
2015-03-27 05:33:17;277.875;13;1020
2015-03-27 05:33:29;275.666666666667;14;250
2015-03-27 05:33:47;275.666666666667;14;256
2015-03-27 05:34:02;275.6;15;267
2015-03-27 05:34:14;275.6;15;265
2015-03-27 05:35:02;275.6;15;318
